ConceptId	MapTarget
10461000	T140
10464008	M244
10469003	E876
1047281000000107	#NC
1047301000000108	#NC
1047471000000106	#NC
1047481000000108	#NC
1047491000000105	#NC
1047501000000104	#NC
1047511000000102	#NC
1047521000000108	#NC
1047531000000105	#NC
1047541000000101	#NC
1047551000000103	#NC
1047561000000100	#NC
1047571000000107	#NC
1047581000000109	#NC
1047611000000103	#NC
1047641000000102	#NC
1047651000000104	#NC
1047661000000101	#NC
1047671000000108	#NC
1047681000000105	#NC
1047691000000107	#NC
1047701000000107	#NC
1047711000000109	#NC
1047791000000100	#NC
1047881000000106	F112
10480003	K116
10481000119108	G930
1048111000000109	#NC
1048201000000103	#NC
104831000119109	G473
1048451000000103	N170
1048451000000103	E86X
1048481000000109	N170
1048481000000109	R579
1048491000000106	N170
1048491000000106	A419
10485008	B718
1048501000000100	N170
104851000119103	F531
1048511000000103	N170
1048511000000103	E86X
1048521000000109	N170
1048521000000109	A419
1048541000000102	N170
1048541000000102	R579
10486009	T424
10491000119106	K914
10491005	B021D
10491005	G020A
1049141000000104	#NC
1049201000000106	#NC
1049221000000102	R13X
104931000119100	N189
104931000119100	I129
104941000119109	E103D
104941000119109	H360A
104951000119106	E103D
104951000119106	H450A
104961000119108	E113D
104961000119108	H360A
10497009	S203
104981000119104	C710
10501004	J840
10503001	#NC
10509002	J209
1051000119103	N488
1051005	E168
105111000119109	C37X
105121000119102	C52X
10518000	K831
10519008	J681
105191000119100	G473
1052091000000103	#NC
10521000119108	G629
1052101000000106	#NC
1052111000000108	#NC
1052591000000106	Z741
1052601000000100	#NC
105261000119101	N602
1052721000000103	#NC
1052731000000101	#NC
1052741000000105	#NC
1052751000000108	#NC
10528009	A184
10532003	G300
10532003	F000A
10535001	N803
105401000119101	E149
105411000	Z608
105412007	Z604
105413002	Z603
105414008	#HLT
105415009	#NC
105416005	Z630
105417001	#NC
105418006	Z558
105419003	Z553
105421000119105	G300
105421000119105	F919
105422001	Z558
105423006	#NC
105430000	#NC
105432008	#NC
1054321000000107	Z608
105433003	#NC
105434009	#NC
105435005	#NC
1054451000000109	L97X
105448009	Z637
105451000119102	F04X
105477005	Z552
105478000	#NC
105479008	F912
105480006	Z532
105481005	#NC
105482003	Z579
105483008	Z621
105484002	Z600
105485001	Z639
105486000	Z630
105487009	#NC
105488004	Z631
105489007	Z631
105490003	Z567
105491000119107	G470
105491004	Z567
105492006	Z561
105493001	#NC
105494007	#NC
105495008	#NC
105496009	Z566
105497000	#NC
105498005	Z566
105499002	Z549
1055001	I659
105501005	Z999
105502003	Z992
105503008	Z993
105504002	#NC
105506000	#NC
105507009	Z749
105508004	Z653
105509007	Z653
105510002	#NC
105511003	#NC
105512005	#NC
105513000	Z592
