ConceptId	num
102802001	1
102803006	1
10281000132103	1
102829006	1
102830001	1
10283004	1
102831000119104	2
102831002	1
102832009	1
102834005	1
102835006	1
102836007	1
102837003	1
102838008	1
102840003	1
102841004	1
102843001	1
102844007	1
102845008	1
102846009	1
102847000	1
102848005	1
102849002	1
102850002	1
102851003	1
102852005	1
102853000	1
102854006	1
102855007	1
102856008	1
102857004	1
102858009	1
102859001	1
102860006	1
102861005	1
102862003	1
102863008	1
102864002	1
102865001	1
102866000	1
102868004	2
102871000119101	2
102872000	1
102874004	1
102875003	1
102876002	1
102877006	1
102878001	1
102879009	1
102881006	1
102882004	1
102883009	1
102884003	1
102885002	1
102886001	1
102887005	1
102888000	1
102889008	1
102891000	1
102892007	1
102893002	1
102894008	1
102897001	1
102898006	1
102899003	1
102900008	1
102901007	1
102902000	1
102903005	1
102904004	1
102905003	1
102906002	1
102908001	1
10291000132101	1
102910004	1
102911000	1
102912007	1
102913002	1
102915009	1
102916005	1
102917001	1
102918006	1
102919003	1
102920009	1
102921008	1
102922001	1
102923006	1
102924000	1
102925004	1
102927007	1
102928002	1
102929005	1
102930000	1
102931001	1
102932008	1
102933003	1
102934009	1
102935005	1
102936006	1
102937002	1
102938007	1
10294000	1
102940002	1
102941003	1
102942005	1
102943000	1
102945007	1
102946008	1
102947004	1
102948009	1
102949001	1
102950001	1
10295004	1
102951002	1
102952009	1
102953004	1
102954005	1
102955006	1
102956007	1
102958008	1
102961009	1
102962002	1
102964001	1
102965000	1
102967008	1
102968003	1
102970007	1
102971006	1
102973009	1
102974003	1
10298002	1
102981005	1
102982003	1
102983008	1
102984002	1
102985001	1
102987009	1
102988004	1
102990003	1
102991004	1
102992006	1
102993001	1
102994007	1
102995008	1
102996009	1
102997000	1
102998005	1
102999002	1
103000001	1
103001000119108	1
103001002	1
103002009	1
103003004	1
103005006	1
103006007	1
103007003	1
103008008	1
103009000	1
10301000132102	1
103010005	1
10301003	1
103011000119106	2
103011009	1
103012002	1
103013007	1
103014001	1
103015000	1
103016004	1
103017008	1
103018003	1
103019006	1
103020000	1
103021001	1
103031000119101	1
103061000119109	1
103075007	1
103077004	1
103078009	2
103079001	1
103080003	1
103081004	2
103083001	1
1031000119109	1
10310006	2
1031006	1
10311000132100	1
10314002	1
10317009	1
10318004	1
10321000132105	1
103210004	1
10321002	1
103211000	1
103212007	1
103213002	1
103225004	1
10325006	1
103251002	1
103252009	1
103254005	1
103255006	1
103256007	1
103257003	1
103258008	1
103259000	1
103260005	1
103261009	1
103262002	1
103263007	1
103264001	1
103265000	1
103266004	1
103268003	1
103269006	1
10327003	1
103271006	1
103272004	1
103273009	1
103274003	1
103275002	1
103276001	1
1032761000000105	1
103277005	1
103278000	1
103281005	1
103282003	1
103284002	1
1032841000000102	1
103286000	1
103287009	1
103288004	1
103289007	1
103290003	1
103291004	1
103292006	1
103293001	1
103294007	1
103295008	1
103296009	1
103297000	1
103298005	1
103299002	1
103300005	1
1033009	1
103301009	1
103302002	1
103303007	1
103304001	1
103305000	1
1033051000000101	1
1033071000000105	1
1033091000000109	1
10331000132107	1
1033111000000104	1
1033181000000106	1
1033241000000108	1
1033261000000109	1
10335000	1
1033571000000100	1
1033591000000101	1
1033651000000108	1
10337008	1
1033961000000104	1
10340008	1
1034003	1
103406000	1
103407009	1
103408004	1
103409007	1
103410002	1
103411003	1
103412005	1
103413000	1
103414006	1
103415007	1
103416008	1
103417004	1
103418009	1
1034461000000106	1
1034481000000102	1
10345003	1
1034501000000106	1
1034521000000102	1
1034541000000109	1
1034561000000105	1
10347006	1
1034891000000102	1
10349009	2
1034901000000101	1
1034921000000105	1
10351000132101	2
10351008	1
1035381000000108	1
1035521000000103	2
1035691000000104	1
1035751000000103	1
1035841000000108	2
10360000	1
103606006	1
103607002	1
103608007	1
103609004	1
103610009	1
10361001	1
103611000119102	2
103611008	1
10362008	1
10363003	1
103631007	1
10365005	1
10366006	1
1036671000000106	2
103681000119108	2
103691000119106	2
103694001	1
10370003	1
103707005	1
1037131000000101	1
1037151000000108	1
1037191000000100	1
103728001	1
103732007	1
1037391000000102	1
103741000119108	2
10375008	1
103761000119107	2
103781000119103	1
10379002	1
1038000	1
10380004	1
10381000	1
1038261000000100	1
103841000119102	1
10385009	1
103851000119100	2
10387001	1
103871000119109	2
10389003	1
10392004	1
103931000119102	1
10394003	1
10396001	1
103981000119101	2
10399008	1
104011000119109	2
104041000119108	2
10406007	1
104081000119103	1
1041000119100	1
104111000119108	1
10416004	1
10421000132103	1
10423003	1
104231000119108	1
10443009	1
104431000119107	1
10446001	1
104461000119104	2
104471000119105	2
1045000	1
10451007	1
104521000119108	1
10453005	1
1045671000000102	1
1045691000000103	1
1045721000000107	1
1045751000000102	1
1045771000000106	1
1045791000000105	1
1045811000000106	1
1045861000000108	1
1045881000000104	1
1045901000000101	1
1045921000000105	1
1045941000000103	1
1045981000000106	1
1046004	1
10461000	1
10464008	1
10469003	1
1047281000000107	1
1047301000000108	1
1047471000000106	1
1047481000000108	1
1047491000000105	1
1047501000000104	1
1047511000000102	1
1047521000000108	1
1047531000000105	1
1047541000000101	1
1047551000000103	1
1047561000000100	1
1047571000000107	1
1047581000000109	1
1047611000000103	1
1047641000000102	1
1047651000000104	1
1047661000000101	1
1047671000000108	1
1047681000000105	1
1047691000000107	1
1047701000000107	1
1047711000000109	1
1047791000000100	1
1047881000000106	1
10480003	1
10481000119108	1
1048111000000109	1
1048201000000103	1
104831000119109	1
1048451000000103	2
1048481000000109	2
1048491000000106	2
10485008	1
1048501000000100	1
104851000119103	1
1048511000000103	2
1048521000000109	2
1048541000000102	2
