ConceptId	num
106021008	1
106022001	1
106023006	1
106024000	2
106028002	2
106030000	1
106048009	3
106050001	2
106063007	3
106076001	1
10608000	1
106089007	1
1061000119101	2
106109006	1
106112009	3
106113004	1
106126000	2
106129007	3
10613001	1
106131003	3
106132005	1
106133000	1
106136008	3
106137004	2
106138009	1
106144008	1
106146005	3
106151004	1
106152006	1
106153001	1
106154007	1
106155008	1
106156009	1
106157000	1
106158005	1
106159002	1
106160007	1
106161006	1
106162004	1
106167005	1
106176003	1
10619002	3
106200001	1
106221001	1
10623005	2
10624911000119107	1
10624951000119108	1
10624991000119103	1
10625031000119102	1
10625071000119104	1
10625111000119106	1
10625151000119107	1
10625191000119102	1
10625231000119106	1
10625271000119109	1
10625311000119109	1
10625351000119105	1
10625391000119100	1
10625431000119105	1
10625471000119108	1
10625511000119104	1
10625551000119103	1
10625591000119108	1
10625631000119108	1
10625671000119106	1
10625711000119105	1
10625791000119101	1
10625831000119107	1
10625911000119108	1
10625951000119109	1
10626002	1
10626791000119106	1
10626831000119100	1
106281000119103	1
10628711000119101	1
10628871000119101	1
10628911000119103	1
10629071000119102	1
10629111000119109	1
10629351000119108	1
10629471000119106	1
10631000119105	1
10631271000119109	1
10631311000119109	1
10631351000119105	1
10631391000119100	1
10631431000119105	1
10631471000119108	1
10631511000119104	1
10631551000119103	1
10631591000119108	1
10631631000119108	1
10631671000119106	1
10631991000119104	1
10632031000119109	1
10632751000119100	1
10632871000119101	1
10632911000119103	1
106371000119109	1
106411000119105	1
106451000119106	1
10649000	3
10650000	2
10650831000119101	4
10651001	2
1065241000000102	1
10652791000119106	4
10653003	2
1065561000000103	1
10656231000119100	2
10656271000119102	2
1065701000000105	1
106571000119103	1
10660471000119109	2
10661671000119102	2
10662001	1
1066211000000106	1
1066261000000108	1
10666031000119100	1
1066631000000100	1
1067201000000106	2
10672271000119100	1
10674871000119105	1
10674911000119108	1
1067611000000105	1
10676831000119101	1
10676911000119100	1
10677711000119101	1
10677791000119105	1
10677871000119101	1
10677951000119102	1
10678191000119105	5
10678431000119102	1
10678471000119104	1
1067851000000108	1
10678511000119108	5
10678591000119104	5
10678631000119104	1
10678671000119101	1
10678711000119102	1
10678751000119101	1
10678791000119106	5
10678831000119100	1
10678911000119104	1
10678951000119103	5
10679007	4
10679031000119101	1
10679071000119103	1
10679151000119106	1
10679191000119101	1
10679231000119105	1
10679271000119108	1
10679351000119109	1
10679431000119109	3
10679591000119107	3
1068001000000102	1
10680591000119107	2
10680791000119100	2
10680951000119108	2
10682431000119105	1
10682911000119108	1
10683871000119102	2
10684071000119105	2
10684191000119107	2
10684351000119104	2
10684551000119106	2
10684751000119103	1
10685111000119102	3
10690551000119101	1
10691000000100	1
10692081000119100	1
10692131000119100	1
10692681000119108	3
10692761000119107	2
10697004	1
10699001	1
1070000	1
10701000000100	1
10711000000103	1
